DM_EVENT.date_ops_start,DM_ACTIVITY.activity_code,DM_ACTIVITY.activity_memo
09/01/2014,C1,"Established circulation with 300 lpm, 475 psi .Observe 4.7 m3/hr loss at 550 lpm. Reduce flow rate to 475 lpm, total loss 3 m3. Circulate bottom up (475 lpm, 500 psi). "
09/01/2014,F1,"Cont drilling 8-1/2"" directional hole (Powerdrive/MWD/LWD) from 2954 m to 3114 mMD/2609 mTVD w/1.75 SG SDF. BHCT 144?C. No losses. Well path at midnight: 0.97 m below and 2.01 m left to the proposal line. Drilling parameters: Rotate: WOB 15-22 klbs, 2200 lpm, SPP 3600-3750 psi, 150 rpm, 11/15 kft-lbs (off/on btm). Rotate: 478 m/17.43 hrs. Avg ROP 28 m/hr. P/U 234 klbs, S/O 145 klbs, R/T 182 klbs. • From 2945 m onwards, control ROP at 10-15 m/hr due to high dropping tendency about 2 deg/10 m. Difficult in sending downlink from 2945 m - repeat sending several times.  Gas Peak: 54.05%@2877 mMD/2424 mTVD, BG 1.5%. Formation: • Top FM2B@2580 mMD/2202.77 mVD (60-100% Clyst, 10-40% Sst, 5-10% Coal)                   • Top FM2A@2870 mMD/2418.39 mVD (50-90% Clyst, 10-50% Sst, 0-5% Coal) Note: • Add 2 sacks of G Seal HRG and 2 sacks of G seal plus every 1 hr.          • At 3114 m, Mud Cooler temp in 62?C, temp out 42?C, flow line temp 82?C.  ===00:00 - 06:00 Operations=== 00:00 - 00:15 Cont drilling 8-1/2"" hole to TD at 3118 mMD/2609 mTVD. No losses. - TD was set at 48 mTVD deeper as per correlation with BK-DEL-26 00:15 - 04:00 Circ Bottom up (2200 lpm, 3500 psi). Geologist confirm TD, Formation 2A Sample 90% Clyst, 10% Sst. Perform pump off test 15 min. Take TD survey. Pump 4/8 m3 of Lo-vis/Hi-den pill and circulate hole clean (2200 lpm, 3500 psi). Note: - Observe 10 % cutting increase at shaker when pill on surface. - Pump off gas 6%. Back ground 0.5%. - Increase MW to 1.78 SG - Avg hole size from propane lag check first/peak:8.68""/9.1"", Lo-vis/Hi-den pill: 8.97"" 04:00 - 06:00 Flow check - hole static. POOH 8-1/2"" BHA from 3118 m to 2850 m  Note: - Ream clear tight spot at 2920 - 2912 m (1000 lpm, 780 psi, 50 rpm) "
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3550 m to 3564 mMD/2953 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C.  Well path at midnight : 5.4 m above and 20.8 m left to proposal line. Daily Drilling parameters : Rotate: WOB 14 klbs, 1000 lpm, SPP 3450/3800 psi(UG/FG), 150-200 rpm, 8/11 kft-lbs (off/on btm). Rotate: 434 m/ 14.73 hrs. Avg ROP 29.5 m/hr. P/U 193 klbs, S/O 139 klbs, R/T 168 klbs. Note:  • Add 1 sack of G Seal HRG + 1 sack of G seal plus every 1 hrs until 3333 m. • From 3333 m, Add 2 sx of G Seal HRG + 2 sx of G seal plus + 2 sx of Vinseal F every 1 hr. • From 3362 m, reduce rotary speed from 200 rpm to 150 rpm to aid on downhole temp. • At 3564 m, Mud Cooler temp in 41?C, temp out 36?C, flow line temp 60?C.  Formation: • FM2A (70-90% Clyst, 10-30% Sst)                 •  Top of FM1 @ 3470 mMD/2880 mTVD (55-75% Clyst, 25-45% Sst) Gas peak : 11.8% @ 3343 mMD/2783 mTVD, BG 0.5% ===00:00 - 06:00 Operations=== 00:00 - 00:45 hrs. Circ bottoms up to lower downhole temp for MWD tool  (1000 lpm, 3400 psi). Temp reduce from 175?C to 168?C. 00:45 - 01:30 hrs. Cont drilling 6-1/8"" hole from 3564 m to 3593 mMD/ 2975 mTVD w/ 1.40 SG SDF. No losses.BHCT 175?C.  01:30 - 02:30 hrs. Circ bottoms up to lower downhole temp for MWD tool  (1000 lpm, 3700 psi). Temp reduce from 175?C to 169?C. 02:30 - 06:00 hrs. Cont drilling 6-1/8"" hole from 3593 m to 3640 mMD/ 3012 mTVD w/ 1.40 SG SDF. No losses. BHCT 173?C. Gas peak (from 00:00-06:00 am) : Nil. Well path at 06:00 am : 6 m above and 26 m left to proposal line. "
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3130 m to 3389 mMD/2818 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C "
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3476 m to 3550 mMD/2942 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C"
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3436 m to 3476 mMD/2885 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C"
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3389 m to 3436 mMD/2854 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C"
09/01/2014,C1,"P/U shoe track, Fill at surface & check float - Ok. Hold PJSM. RIH 7"" casing (29 ppf TPCQ T95 R3) to 1000 m with slip to slip speed 90-100sec/ jt. No losses. "
09/01/2014,C1,"Cont RIH 7"" casing from 1000 m to 2000 m with slip to slip speed 90-100sec/ jt. No losses."
09/01/2014,C1A,"Hold PJSM. R/U Fill up tool, WFT 500 tons elevators and long bails.   ===00:00 - 06:00 Operations=== 00:00 - 00:30 Cont R/U Fill up tool.  00:30 - 02:00 Established circulation with 300LPM-475PSI .Observe 4.7 m3/hr loss at 550 lpm. Reduce flow rate to 475 lpm, total loss 3 m3. Circulate bottom up (475 lpm, 500 psi).  02:00 - 06:00 Cont RIH 7” casing from 2000 m to 2620 m, with slip to slip speed 105-110sec/ jt.   "
09/01/2014,C1,"M/up swage & TDS. Established circulation with 300 lpm-250 psi and stage up to 800 lpm, 400 psi. No losses."
09/01/2014,G5,"L/D SRFT. Drain sample. BHST from head thermometer = 182.2?C@3091 mMD/2547 mTVD, 25 hrs 20 mins after EOC. Monitor well, no gain/loss. - S1/1 (Upper chamber: 2882 mTMD/ 2386.6 mTVD-MSL), Gas 30.15 cuft., surface pressure 2000 psi, CO2. 31.85 % (GSS sensor), H2S 27 ppm (Almansoori), H2S 5 ppm (GSS), mud filtrate 3.5 lt. - S1/2 (Lower chamber: 2986.8 mTMD/ 2467.1 mTVD-MSL), Gas 38.70 cuft., surface pressure 2000 psi, CO2. 32.99 % (GSS sensor), H2S 48 ppm (Almansoori), H2S 5 ppm (GSS), mud filtrate 5 lt."
09/01/2014,F1,"Drill 12 1/4"" directional hole (with Motor/MWD) from 514 m to 1101 mMD/981.4 mTVD w/ 1.30 SG SDF. BHCT 71?C. No losses. Drilling parameter: Rotate: WOB 5-10 klbs, 3400 lpm, SPP 2450/2700 psi (off/on btm), 80 rpm, 10/12 kft-lbs (off/on btm). Slide: WOB 5-8 klbs, 3400 lpm, SPP 2450/2650 psi (off/on bttm). Rotate: 496 m/6.09 hrs. Avg ROP 81.4 m/hr. Slide: 94 m/1.55 hrs. Avg ROP 60.65 m/hr. P/U 145 klbs, S/O 126 klbs, Rot 135 klbs. Gas Peak: 4.26 % @ 1065 mMD/952.3 mTVD, BG 0.8%. Formation: Top FM3@1060 mMD/800 mTVD (80-95% Clyst, 5-20% Sst). Note: - Add 1 sacks of G Seal HRG and 1 sacks of G seal plus every 1 hrs.          - Well path: 0.8 left & 0.4 below to the proposal line.    === 00:00 - 06:00 Operations ===  00:00 - 06:00 Cont to drill 12 1/4"" directional hole (with Motor/MWD) from 1101 m to 1380 mMD/1200 mTVD.   - Well path: 0.5 left & 2.8 below to the proposal line.  "
09/01/2014,F1,"Cont drilling 12 1/4"" directional hole (with Motor/MWD) from 1101 m to 1782 mMD/1528.35 mTVD w/ 1.30 SG SDF. BHCT 91?C. No losses. Drilling parameter: Rotate: WOB 12-16 klbs, 3400 lpm, SPP 3200/3550 psi (off/on btm), 80 rpm, 17/22 kft-lbs (off/on btm). Slide: WOB 3-5 klbs, 3400 lpm, SPP 3200/3350 psi (off/on bttm). Rotate: 591 m/11.51 hrs. Avg ROP 51.35 m/hr. Slide: 90 m/9.22 hrs. Avg ROP 9.77 m/hr. - Observe string hang up & motor stalling many times while sliding from 1650 m onwards P/U 192 klbs, S/O 146 klbs, Rot 166 klbs. Gas Peak: 38.64 % @ 1384 mMD/1204.3 mTVD, BG 1.5%. Formation: -Top FM2E@1340 mMD/1169.43 mTVD (60-100% Clyst, 0-40% Sst, 5-10 Coal).                  -Top FM2D@1700 mMD/1457.53 mTVD (80-85% Clyst, 15-20% Sst, 5 Coal) Note: - Add 1 sacks of G Seal HRG and 1 sacks of G seal plus every 1 hrs.          - Well path: 2.33 m left & 3.46 m above to the proposal line.    ===00:00 - 06:00 Operations=== 00:00 - 06:00 Cont drilling 12 1/4"" directional hole (with Motor/MWD) from 1782 m to 1855 mMD/1600 mTVD.        - Well path: 1.65 m left & 0.67 m above to the proposal line.  "
09/01/2014,C1,"P/U shoe track (eccentric shoe), Fill at surface & check float - ok. Hold PJSM. RIH 9 5/8"" casing to 500 m. - Observe loss while RIH to 400 m, 1.59 m3. No static loss."
09/01/2014,C1,"Circulate @ 300-400 lpm, 325-400psi with no return. Land hanger (140 klbs string wt) while flush clean well head thru annulus valve. Float collar @ 2090.8 mMD/1811.93 mTVD, Float shoe @ 2116.69 mMD/1835.44 mTVD. Total run : 173 jts of 9-5/8"" casing, 47#, FOX, P 110, R3 + 1 Float shoe assy. (Ecc) + 2 intermediate jt. + 1 Float collar assy (NR).-Total loss 23 m3 while circulating."
09/01/2014,C1A,"R/U cement head and surface line. Circ prior to cement job (200-500 lpm, 180-240 psi) - no return. Total loss 28.5 m3 while circulating. ===00:00 - 06:00 Operations=== 00:00 - 01:00 Rig pump 1.6 m3 Base Oil. Rig pump 25.0 m3 spacer (400 lpm, 250 psi) and fill surface line  - No return. 01:00 - 01:15 Flow check - static. Line up to cement unit, pump 0.8 m3 of SW. Pressure test line to 5000 psi. 01:15 - 04:15 Drop bottom plug. Mix and pump 80 m3 of 1.50 SG lead slurry & 9.5 m3 with 550 lpm (used 13.88"" hole size for calculation). No return. Total losses 89.5 m3. 04:15 - 06:00 Drop top plug. Cement unit displace cement with 1.59 m3 of 1.4 SG SDF. Rig cont to displace with 77.8 m3 of 1.4 SG SDF (200 - 500 lpm) - in progress with no return. "
09/01/2014,C1,"Cont RIH 9 5/8"" casing with controlled speed from 500 m to 2085 m, speed 10 jt/hr. - Break circulation at 950 m, 1450 m and 2074m @300 lpm - 400 lpm. No return. - Total loss 81.5 m3 of SDF while RIH in open hole section. - P/U weight 325 klbs, S/O weight 215 klbs."
09/01/2014,C2,"Drop bottom plug. Mix and pump 80 m3 of 1.50 SG lead slurry & 9.5 m3 with 550 lpm (used 13.88"" hole size for calculation). No return. Total losses 89.5 m3."
09/01/2014,C2,"Drop top plug. Cement unit displace cement with 1.59 m3 of 1.4 SG SDF. Rig cont to displace with 77.8 m3 of 1.4 SG SDF ( 500-200 lpm). Cement unit  displace with 1.59 m3 mud. Bump plug with final pressure 279 psi (Calc dif press 366 psi). CIP@07:15 hrs. Pressure test casing to 4000 psi/10 mins_ok. Bleed off pressure - float holding. Note: • Observe bottom plug shear when pump cement 79.98 m3.          • Total losses during displacement 81 m3 .Est TOC by differentail pressure at 683 m (Plan TOC@309 m, 13-3/8"" shoe@508.6 m)."
09/01/2014,F1,"Cont drilling 12-1/4"" hole from 2027 m to 2106 mMD/1826 mVD. No losses."
09/01/2014,C3,"Retrieve wearbushing. M/U jetting tool while function BOP. Wash BOP and well head profile (1000 lpm, 450 psi, 10 rpm).  === 00:00 - 06:00 Operations === 00:00 - 00:45 Cont washing BOP & wellhead. 00:45 - 01:00 R/U 9 5/8"" handling equipment. 01:00 - 05:00 P/U shoe track (eccentric shoe), Fill at surface & check float - ok. Hold PJSM. RIH 9 5/8"" casing to 500 m. - Observe loss while RIH to 400 m, 1.59 m3. No static loss. 05:00 - 06:00 Hold PJSM. R/D BX-elevator. R/U Fill up tool, 500 ton elevators and long bails. "
09/01/2014,F1,"Cont drilling 12 1/4"" directional hole (with Motor/MWD) from 2106 m to section TD at 2120 mMD/1838.33 mTVD w/1.40 SG SDF. BHCT 83?C. No losses. Drilling parameter: Rotate: WOB 8-10 klbs, 3400 lpm, SPP 3650/3900 psi (off/on btm), 80 rpm, 17/24 kft-lbs (off/on btm). Slide: WOB 3-6 klbs, 3400 lpm, SPP 3650/3800 psi (off/on bttm). Rotate: 59 m/2.8 hrs. Avg ROP 21.07 m/hr. Slide: 34 m/6.13 hrs. Avg ROP 5.55 m/hr. - Observe string hang up & motor stalling many times while sliding from 1650 m onwards P/U 233 klbs, S/O 152 klbs, Rot 181 klbs. No gas peak, BG 1.5%. Formation: - Top FM2C@2100 mMD/1820.27 mVD (90% Clyst, 10% Sst) Note: - Add 1 sacks of G Seal HRG and 1 sacks of G seal plus every 1 hrs.          - Well path: 12.7 m left & 5.93 m below to the proposal line.            - Increase MW to 1.40 SG from 1750 m TVD          - At 2120 m, Mud Cooler temp in 53?C, temp out 46?C, flow line temp 71?C          - Avg hole size from carbide 12.79 at first, 13.88"" at peak."
09/01/2014,F1,"Drill 8-1/2"" directional hole (Powerdrive/MWD/LWD) from 2123 m to 2636 mMD/2244 mTVD w/ 1.45-1.75 SG SDF. BHCT 107?C. No losses. Well path at midnight: 16.13 m below and 11.69 m left to the proposal line. Drilling parameters: Rotate: WOB 15-20 klbs, 2200 lpm, SPP 3600-3750 psi, 150 rpm, 11/15 kft-lbs (off/on btm). Rotate: 516 m/11.51 hrs. Avg ROP 44.83 m/hr.  P/U 205 klbs, S/O 135 klbs, R/T 168 klbs. Gas Peak: 33%@2466 mMD/2074 mTVD, BG 1.0%. Formation: • FM2C (90% Clyst, 10% Sst) Note: • Add 2 sacks of G Seal HRG and 2 sacks of G seal plus every 1 hr. • Increase MW to 1.50 SG from 1850 mTVD, Increase MW to 1.60 SG from 1910 mTVD • Increase MW to 1.70 SG from 2000 mTVD, Increase MW to 1.75 SG from 2100 mTVD • At 2636 m, Mud Cooler temp in 60?C, temp out 39?C, flow line temp 77?C ===00:00 - 06:00 Operations=== 00:00 - 06:00 Cont to drill 8-1/2"" hole from 2636 m to 2880 mMD/2427 mTVD w/1.75 SG SDF. No losses. Well path: 2.1 m below and 2.58 m left to the proposal line."
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3564 m to 3593 mMD/ 2975 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C.  "
09/01/2014,F3,"Circ bottoms up and cool down BHCT to 165?C with 1000 lpm, 3400-3850 psi. Geologist confirm TD ( FM1, Sample 80% Clyst, 20 % Sst). Perform pump off test 10 mins. Pump 4m3/8m3 Lovis/Hi den pills and circ Pills out/hole clean. Hole size from Pills = 6.98"". No pump off gas. No losses."
09/01/2014,F3,"Circ bottom up at 7” shoe with 1000 lpm, 3120 psi. No gas, no losses."
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3593 m to 3647 mMD/ 3018 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C. "
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3668 m to TD at 3684 mMD/ 3046.5 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C. Well path at TD : 6.0 m above and 28.5 m left to proposal line. Daily Drilling parameters : Rotate: WOB 14-16 klbs, 1000 lpm, SPP 3400/3850 psi(UG/FG), 100-150 rpm, 8/13 kft-lbs (off/on btm). Rotate: 120 m/ 7.85 hrs. Avg ROP 15.29 m/hr. P/U 203 klbs, S/O 149 klbs, R/T 171 klbs. Note:  • Add 2 sx of G Seal HRG + 2 sx of G seal plus + 2 sx of Vinseal F every 1 hr until 3675 m. • From 3668 m, reduce rotary speed from 150 rpm to 100 rpm to aid on downhole temp. • At TD, Mud Cooler temp in 42?C, temp out 36?C, flow line temp 67?C. • Formation: FM1(60-90% Clyst, 10-40% Sst) • Gas peak : Nil %. BG 0.5% • Avg hole size from propane 5.27"" at first and 6.0"" at peak. • Correlation: based on top of FM1, BK-S9-F is 100 mTVD deeper than BK-DEL-27 "
09/01/2014,F1,"Cont drilling 6-1/8"" hole from 3647 m to 3668 mMD/ 3034 mTVD w/ 1.40 SG SDF. No losses. BHCT 175?C."
09/01/2014,C3,"Hold PJSM. Prepare and install cement adaptor spool. Retrieve BPV and in stall cement head. ===Rig release from AT-24-Q to AT-24-E at 07:45 hrs on 18 February 2014===    ===Total day on well 13.44 days/13.16 days AFE.      =====Offline operation on AT-24-Q ======    09:00 - 09:30 Retrieve BPV. R/U cement head & lines 09:30 - 10:30 hrs Circulate bottom up (650 lpm, 2200 psi) No losses. Max gas 0.40%.  10:30 - 11:15 hrs Rig pump 215 bbls of 1.70 SG MudPUSH WHT spacer. Flush line, ok.  11:15 - 12:30 hrs P/T line 6500 psi. Pump 240.9  bbls of 1.90 SG CMT. (6.27"" hole size, no excess) 12:30 - 12:45 hrs Cement unit flush line with sea water until clean sea water appear.  12:45 - 14:00 hrs Drop wiper plug. Displace cement with 5 bbl brine + 74.4 bbls base oil + 5 bbls brine until bump plug@ 5800 psi/10 min. CIP 13:30 hrs. Bleed pressure, no backflow.   Note: - 40 bbls of contaminated spacer and 32 bbl of pure spacer on surface.                    - Estimate TOC from Vol.calulation @ 1883 m. Planned TOC 2009 m.                    - Cycle DHSV 10 times after cement wiper plug pass DHSV."
09/01/2014,C2,"Drop top plug. Cement unit pump 20 bbls of 1.12 SG WBM. Switch to rig pump and continue displace with 525.6 bbl of 1.12 SG WBM, 7 bpm. Bump plug to 4000 psi/10 min. CIP 09:30 hrs. Loss 10 bbls during cement job. Estimate TOC 732 m from volumetric calculation."
10/01/2014,C2,"Drop top plug. Cement unit pump 20 bbls of 1.12 SG WBM. Switch to rig pump and continue displace with 525.6 bbl of 1.12 SG WBM, 7 bpm. Bump plug to 4000 psi/10 min. CIP 04:55 hrs. Loss 20 bbls during cement job. Estimate TOC 753 m from volumetric calculation."
10/01/2014,C2,"Circulate and condition mud prior to cement job (200-250 lpm, 450-550 psi). Total loss while circulating 180 bbls"
